SchoolName,DataID
ESANGWENI SECONDARY SCHOOL,9O7D2W5M3A
ESSELENPARK PRIMÊRE SKOOL,LNSM3LRTC2
ESSELENPARK SEKONDÊR,JTJ3K4QMCX
ESSENHOUT PRIMARY SCHOOL,0NG0SSXJML
EURECON PRIMARY SCHOOL,Q0A15DI0JI
EUREKA PRIMÊRE SKOOL,JB3DF8A70H
EVERSDAL PRIMARY SCHOOL,94XGS50Z3M
EXCELSIOR PRIMARY SCHOOL (BELLVILLE),6JX3D6BQP5
EXCELSIOR SEKONDÊR,QCTO6VXOGB
EXCELSIOR VGK PRIMÊRE SKOOL,V3GEAM2YH2
EZELFONTEIN NGK PRIMÊRE SKOOL,2X4MSQAY2W
F.D. CONRADIE LAERSKOOL,0Y9YGTX6N8
F.J. CONRADIE PRIMÊRE SKOOL,BTOC7D0XOY
FACTRETON PRIMARY SCHOOL,E7QH1TYQPG
FAIRBAIRN COLLEGE,NH98YT9PWE
FAIRDALE HIGH SCHOOL,1URY45TVDQ
FAIRDALE NO.2 HIGH SCHOOL,LPRZP9CA1N
FAIRDALE PRIMARY SCHOOL,0FAUST7G2P
FAIRFIELD NGK PRIMÊRE SKOOL,T9QN8I3DY4
FAIRMONT HIGH SCHOOL,LSNEE3OHA4
FAIRMOUNT SECONDARY SCHOOL,4APN33P6ZI
FAIRVIEW PRIMARY SCHOOL,VXTW54ZWY0
FALSE BAY PRIMARY SCHOOL,W5RC9UMG7K
FANIE THERON PRIMARY SCHOOL,53UAET09CX
FERNDALE PRIMARY SCHOOL,1GUUNK7ORL
FEZEKA SECONDARY SCHOOL,1HDQWF1K2B
FEZEKILE SECONDARY SCHOOL,R0LXDBTM7G
FILIA SKOOL,0V87Q4G2KC
FIRGROVE PRIMARY SCHOOL,BNCGC3DF26
FISANTEKRAAL HIGH SCHOOL,LTUZFJV07W
FISANTEKRAAL PRIMARY SCHOOL,IP26D8LPIZ
FISH HOEK HIGH SCHOOL,OULIGN6FJU
FISH HOEK PRIMARY SCHOOL,51NJIFJQ3N
FISHERHAVEN ACADEMY,T88O0R5UM7
FLOREAT PRIMARY SCHOOL,DHMUX5TY67
FLORIDA SEKONDÊR,IIC8OR4E03
FLORIDA VAARDIGHEIDSKOOL,DRVSAU537M
FOREST HEIGHTS HOËRSKOOL,CH86NDLC61
FOREST HEIGHTS PRIMARY SCHOOL,6ZERTL5EDM
FOREST VILLAGE LEADERSHIP ACADEMY,N4M0LAET92
FORMOSA PRIMÊRE SKOOL,R80HG9GOJB
FRAAISIG PRIMARY SCHOOL,ATGDM1Z59N
FRANKEN VGK PRIMÊRE SKOOL,C7LJSMHBO2
FRANSCHHOEK HOËRSKOOL,J68I9BL2E6
FRANSIE DU TOIT NGK PRIMÊRE SKOOL,DJWDVBJROS
FRIEMERSHEIM PRIMÊRE SKOOL,JO7TA0HK3V
G.B. BATT NGK PRIMÊRE SKOOL,GLZ03LXOCM
GAMKA-OOS PRIMÊRE SKOOL,1QPSYAFHCD
GANSBAAI ACADEMIA,X41LTUNYWK
GANSBAAI LAERSKOOL,O368QV9NFD
GANSBAAI PRIMÊRE SKOOL,XOZ5KK2UQ6
GARDEN ROUTE HIGH SCHOOL,5KMOGLQ4GQ
GARDEN ROUTE PRIMARY SCHOOL,WRCEXWZUGD
GARDEN VILLAGE PRIMARY SCHOOL,V6SQZVAK7U
GARDENIA PRIMARY SCHOOL,34D0N8VLFI
GARDENS COMMERCIAL HIGH SCHOOL,7ZG3GNR9ST
GARLANDALE PRIMARY SCHOOL,S9X0DM44CL
GARLANDALE SEKONDÊR,RFNUD17H8T
GATEWAY HIGH SCHOOL,U7T98R5TOK
